Nummer,Name,Insgesamt,maeannlich,weiblich
09663,W�rzburg,124297,58135,66162
09671,Aschaffenburg - Landkreis,172612,85283,87329
09672,Bad Kissingen - Landkreis,104020,50668,53352
09673,Rh�n-Grabfeld - Landkreis,80829,39929,40900
09674,Ha�berge - Landkreis,84575,42174,42401
09675,Kitzingen - Landkreis,87719,43384,44335
09676,Miltenberg - Landkreis,128406,63855,64550
09677,Main-Spessart - Landkreis,127508,63172,64336
09678,Schweinfurt - Landkreis,113084,56222,56862
09679,W�rzburg - Landkreis,158095,78157,79938
09761,Augsburg,267767,128788,138979
09762,Kaufbeuren,41550,20022,21528
09763,Kempten (Allg�u),64078,31173,32905
09764,Memmingen,41241,20010,21231
09771,Aichach-Friedberg - Landkreis,126387,62397,63990
09772,Augsburg - Landkreis,237095,116462,120633
09773,Dillingen a.d.Donau - Landkreis,93308,46141,47167
09774,G�nzburg - Landkreis,120182,59661,60522
09775,Neu-Ulm - Landkreis,163854,80323,83531
09776,Lindau (Bodensee) - Landkreis,78420,38301,40121
09777,Ostallg�u - Landkreis,133586,65844,67741
09778,Unterallg�u - Landkreis,135161,66981,68180
09779,Donau-Ries - Landkreis,127920,64100,63820
09780,Oberallg�u - Landkreis,148650,72710,75939
10041,Saarbr�cken - Regionalverband,327065,158063,169002
10041100,Saarbr�cken - Landeshauptstadt,175853,85465,90388
10042,Merzig-Wadern - Landkreis,103636,50679,52957
10043,Neunkirchen - Landkreis,135531,65866,69665
10044,Saarlouis - Landkreis,197877,95993,101884
10045,Saarpfalz-Kreis,145394,70249,75145
10046,St. Wendel - Landkreis,90120,44200,45920
11000,Berlin,3292365,1599653,1692712
11001001,Berlin-Mitte,-,-,-
11002002,Berlin-Friedrichshain-Kreuzberg,-,-,-
11003003,Berlin-Pankow,-,-,-
11004004,Berlin-Charlottenburg-Wilmersdorf,-,-,-
11005005,Berlin-Spandau,-,-,-
11006006,Berlin-Steglitz-Zehlendorf,-,-,-
11007007,Berlin-Tempelhof-Sch�neberg,-,-,-
11008008,Berlin-Neuk�lln,-,-,-
11009009,Berlin-Treptow-K�penick,-,-,-
11010010,Berlin-Marzahn-Hellersdorf,-,-,-
11011011,Berlin-Lichtenberg,-,-,-
11012012,Berlin-Reinickendorf,-,-,-
12051,Brandenburg an der Havel - Kreisfreie Stadt,71569,35156,36413
12052,Cottbus - Kreisfreie Stadt,99984,48940,51044
12053,Frankfurt (Oder) - Kreisfreie Stadt,59140,28410,30730
12054,Potsdam - Kreisfreie Stadt,156021,74700,81321
12060,Barnim - Landkreis,172164,85135,87030
12061,Dahme-Spreewald - Landkreis,160162,79159,81003
12062,Elbe-Elster - Landkreis,110189,54392,55796
12063,Havelland - Landkreis,152457,75116,77341
12064,M�rkisch-Oderland - Landkreis,187374,92857,94517
12065,Oberhavel - Landkreis,200805,98872,101935
12066,Oberspreewald-Lausitz - Landkreis,117943,57656,60287
12067,Oder-Spree - Landkreis,178177,87723,90453
12068,Ostprignitz-Ruppin - Landkreis,100242,49844,50398
12069,Potsdam-Mittelmark - Landkreis,202816,100175,102641
12070,Prignitz - Landkreis,80276,39507,40769
12071,Spree-Nei�e - Landkreis,122524,60411,62112
12072,Teltow-Fl�ming - Landkreis,159255,78843,80412
12073,Uckermark - Landkreis,124682,61431,63251
13001,Kreisfreie Stadt Greifswald - Hansestadt,55447,26325,29122
